kr_code,kr_name,indicator,threshold,direction,tp,sl,max_hold,label,n,win_rate,avg_ret,edge,max_win,max_loss
034020,두산에너빌리티,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.7059,3.1025,105.48,12.46,-8.6
402340,SK스퀘어,foreign_net,-1.0,SELL_SIG,5.0,-3.0,10,중기,31,0.6774,3.4011,105.43,16.79,-9.37
034020,두산에너빌리티,institution_net,-3.0,SELL_SIG,3.0,-2.0,5,단기_표준,33,0.697,3.1123,102.71,12.46,-8.6
034020,두산에너빌리티,institution_net,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,37,0.6757,2.7734,102.62,12.46,-8.6
034020,두산에너빌리티,institution_net,-2.0,SELL_SIG,2.0,-1.5,3,단기_보수,37,0.6757,2.7633,102.24,12.46,-8.6
034020,두산에너빌리티,institution_net,-1.5,SELL_SIG,2.0,-1.5,3,단기_보수,37,0.6757,2.7633,102.24,12.46,-8.6
028260,삼성물산,gold,2.0,BUY,5.0,-3.0,10,중기,49,0.6327,2.0608,100.98,12.23,-8.06
000660,SK하이닉스,foreign_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,37,0.6757,2.7253,100.84,12.2,-8.76
000720,현대건설,robotics,3.0,BUY,5.0,-3.0,10,중기,34,0.6176,2.9621,100.71,11.59,-17.34
032640,LG유플러스,gold,3.0,BUY,5.0,-3.0,10,중기,43,0.6047,2.3353,100.42,10.82,-9.89
009150,삼성전기,foreign_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.6765,2.9476,100.22,12.6,-4.27
402340,SK스퀘어,institution_net,-1.0,SELL_SIG,2.0,-1.5,3,단기_보수,42,0.7143,2.3814,100.02,9.53,-12.74
034020,두산에너빌리티,institution_net,-3.0,SELL_SIG,2.0,-1.5,3,단기_보수,36,0.6667,2.7628,99.46,12.46,-8.6
064350,현대로템,robotics,3.0,BUY,3.0,-2.0,5,단기_표준,41,0.5854,2.4109,98.84,22.31,-9.2
047810,한국항공우주,gold,2.5,BUY,5.0,-3.0,10,중기,40,0.6,2.4614,98.46,17.13,-11.83
079550,LIG넥스원,defense,3.0,BUY,5.0,-3.0,10,중기,34,0.6176,2.8675,97.49,13.91,-7.66
402340,SK스퀘어,foreign_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,37,0.6757,2.6139,96.71,16.79,-9.37
402340,SK스퀘어,foreign_net,-1.0,SELL_SIG,2.0,-1.5,3,단기_보수,39,0.6667,2.4376,95.07,16.79,-9.37
298050,효성첨단소재,dow,2.0,BUY,5.0,-3.0,10,중기,33,0.697,2.8729,94.81,11.23,-7.98
015760,한국전력,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.7059,2.7688,94.14,16.16,-7.22
015760,한국전력,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.7059,2.7688,94.14,16.16,-7.22
036460,한국가스공사,gold,3.0,BUY,5.0,-3.0,10,중기,42,0.619,2.2057,92.64,10.92,-7.58
034730,SK,foreign_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,33,0.697,2.8022,92.47,10.59,-8.61
052690,한전기술,dow,-2.5,SELL_SIG,5.0,-3.0,10,중기,42,0.619,2.2017,92.47,24.9,-9.96
207940,삼성바이오로직스,defense,3.0,BUY,5.0,-3.0,10,중기,30,0.6667,3.0621,91.86,11.71,-4.8
012450,한화에어로스페이스,institution_net,3.0,BUY,5.0,-3.0,10,중기,30,0.6,2.9924,89.77,18.15,-7.33
180640,한진칼,nasdaq,3.0,BUY,2.0,-1.5,3,단기_보수,31,0.5806,2.8465,88.24,29.94,-10.9
241560,두산밥캣,dow,2.0,BUY,5.0,-3.0,10,중기,37,0.5946,2.3745,87.86,18.4,-9.69
298050,효성첨단소재,defense,3.0,BUY,5.0,-3.0,10,중기,31,0.6452,2.8314,87.77,12.77,-7.98
015760,한국전력,institution_net,-2.0,SELL_SIG,2.0,-1.5,3,단기_보수,37,0.7027,2.3494,86.93,16.16,-7.22
015760,한국전력,institution_net,-1.5,SELL_SIG,2.0,-1.5,3,단기_보수,37,0.7027,2.3494,86.93,16.16,-7.22
000660,SK하이닉스,institution_net,-2.0,SELL_SIG,2.0,-1.5,3,단기_보수,38,0.6842,2.2717,86.33,12.2,-7.35
000660,SK하이닉스,institution_net,-1.5,SELL_SIG,2.0,-1.5,3,단기_보수,38,0.6842,2.2717,86.33,12.2,-7.35
007070,GS리테일,gold,2.5,BUY,5.0,-3.0,10,중기,34,0.6765,2.5388,86.32,16.99,-11.04
402340,SK스퀘어,institution_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,39,0.6667,2.2125,86.29,11.31,-12.74
000720,현대건설,institution_net,-3.0,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.625,2.676,85.63,21.47,-6.04
000720,현대건설,institution_net,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.625,2.676,85.63,21.47,-6.04
298050,효성첨단소재,dow,2.0,BUY,3.0,-2.0,5,단기_표준,37,0.7297,2.3137,85.61,10.84,-7.98
402340,SK스퀘어,foreign_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.7188,2.6734,85.55,13.06,-8.39
079550,LIG넥스원,defense,3.0,BUY,3.0,-2.0,5,단기_표준,35,0.6571,2.4388,85.36,13.91,-5.85
015760,한국전력,institution_net,-3.0,SELL_SIG,2.0,-1.5,3,단기_보수,36,0.6944,2.3687,85.27,16.16,-7.22
015760,한국전력,institution_net,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,36,0.6944,2.3687,85.27,16.16,-7.22
035420,NAVER,gold,3.0,BUY,5.0,-3.0,10,중기,42,0.5952,2.0226,84.95,11.58,-9.16
000660,SK하이닉스,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,33,0.6667,2.5619,84.54,12.2,-7.35
000660,SK하이닉스,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,33,0.6667,2.5619,84.54,12.2,-7.35
006400,삼성SDI,institution_net,1.0,BUY,3.0,-2.0,5,단기_표준,35,0.6571,2.3996,83.99,13.13,-8.01
000660,SK하이닉스,foreign_net,2.5,BUY,5.0,-3.0,10,중기,30,0.6667,2.791,83.73,13.81,-11.16
402340,SK스퀘어,foreign_net,-2.0,SELL_SIG,2.0,-1.5,3,단기_보수,33,0.7273,2.5365,83.7,13.06,-8.53
009150,삼성전기,institution_net,2.5,BUY,3.0,-2.0,5,단기_표준,34,0.6471,2.4618,83.7,13.13,-5.61
034020,두산에너빌리티,institution_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,36,0.6667,2.3214,83.57,12.46,-16.82
015760,한국전력,institution_net,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.7059,2.4528,83.4,16.16,-7.22
015760,한국전력,institution_net,-3.0,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.7059,2.4528,83.4,16.16,-7.22
012450,한화에어로스페이스,institution_net,2.5,BUY,5.0,-3.0,10,중기,31,0.5806,2.6779,83.01,18.15,-7.33
000660,SK하이닉스,institution_net,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,37,0.6757,2.2427,82.98,12.2,-7.35
000660,SK하이닉스,institution_net,-3.0,SELL_SIG,2.0,-1.5,3,단기_보수,37,0.6757,2.2427,82.98,12.2,-7.35
006400,삼성SDI,institution_net,1.5,BUY,3.0,-2.0,5,단기_표준,36,0.6389,2.3041,82.95,13.13,-8.01
000720,현대건설,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,33,0.6061,2.5133,82.94,21.95,-6.04
000720,현대건설,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,33,0.6061,2.5133,82.94,21.95,-6.04
267250,현대중공업,copper,-3.0,SELL_SIG,5.0,-3.0,10,중기,35,0.6286,2.3587,82.56,15.1,-7.85
402340,SK스퀘어,foreign_net,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,31,0.7419,2.6581,82.4,13.06,-8.53
034020,두산에너빌리티,foreign_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,30,0.7,2.7449,82.35,15.1,-6.95
005380,현대차,institution_net,2.0,BUY,3.0,-2.0,5,단기_표준,33,0.6061,2.4762,81.71,16.22,-4.22
402340,SK스퀘어,foreign_net,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,30,0.7333,2.7173,81.52,13.06,-8.39
